date,SunSign,SunDegrees,MoonSign,MoonDegrees,MercurySign,MercuryDegrees,VenusSign,VenusDegrees,MarsSign,MarsDegrees,JupiterSign,JupiterDegrees,SaturnSign,SaturnDegrees,UranusSign,UranusDegrees,NeptuneSign,NeptuneDegrees,PlutoSign,PlutoDegrees,RahuSign,RahuDegrees,KetuSign,KetuDegrees
1865-01-01,Sagittarius,18.96206,Aquarius,4.08011,Capricorn,2.92801,Capricorn,29.28655,Taurus,9.68472,Scorpio,23.50931,Libra,7.14306,Gemini,4.90843,Pisces,13.63791,Aries,19.43601,Libra,14.07994,Aries,14.07994
1865-01-02,Sagittarius,19.98173,Aquarius,18.53121,Capricorn,2.41422,Aquarius,0.48315,Taurus,9.63489,Scorpio,23.72299,Libra,7.20493,Gemini,4.86720,Pisces,13.64726,Aries,19.42783,Libra,14.02695,Aries,14.02695
1865-01-03,Sagittarius,21.00132,Pisces,2.86317,Capricorn,1.70730,Aquarius,1.67828,Taurus,9.59864,Scorpio,23.93592,Libra,7.26530,Gemini,4.82624,Pisces,13.65717,Aries,19.41997,Libra,13.97396,Aries,13.97396
1865-01-04,Sagittarius,22.02079,Pisces,17.02818,Capricorn,0.81997,Aquarius,2.87188,Taurus,9.57584,Scorpio,24.14809,Libra,7.32416,Gemini,4.78558,Pisces,13.66766,Aries,19.41245,Libra,13.92097,Aries,13.92097
1865-01-05,Sagittarius,23.04013,Aries,1.00545,Sagittarius,29.77335,Aquarius,4.06389,Taurus,9.56632,Scorpio,24.35945,Libra,7.38151,Gemini,4.74523,Pisces,13.67871,Aries,19.40527,Libra,13.86798,Aries,13.86798
1865-01-06,Sagittarius,24.05935,Aries,14.79353,Sagittarius,28.59669,Aquarius,5.25424,Taurus,9.56992,Scorpio,24.57000,Libra,7.43732,Gemini,4.70521,Pisces,13.69033,Aries,19.39842,Libra,13.81498,Aries,13.81498
1865-01-07,Sagittarius,25.07842,Aries,28.40053,Sagittarius,27.32618,Aquarius,6.44289,Taurus,9.58645,Scorpio,24.77971,Libra,7.49159,Gemini,4.66554,Pisces,13.70250,Aries,19.39192,Libra,13.76199,Aries,13.76199
1865-01-08,Sagittarius,26.09736,Taurus,11.83503,Sagittarius,26.00280,Aquarius,7.62979,Taurus,9.61570,Scorpio,24.98855,Libra,7.54431,Gemini,4.62624,Pisces,13.71524,Aries,19.38576,Libra,13.70900,Aries,13.70900
1865-01-09,Sagittarius,27.11616,Taurus,25.10008,Sagittarius,24.66947,Aquarius,8.81487,Taurus,9.65746,Scorpio,25.19651,Libra,7.59547,Gemini,4.58732,Pisces,13.72852,Aries,19.37994,Libra,13.65601,Aries,13.65601
1865-01-10,Sagittarius,28.13482,Gemini,8.19086,Sagittarius,23.36804,Aquarius,9.99809,Taurus,9.71153,Scorpio,25.40357,Libra,7.64505,Gemini,4.54879,Pisces,13.74236,Aries,19.37447,Libra,13.60301,Aries,13.60301
1865-01-11,Sagittarius,29.15336,Gemini,21.09622,Sagittarius,22.13653,Aquarius,11.17940,Taurus,9.77768,Scorpio,25.60970,Libra,7.69304,Gemini,4.51069,Pisces,13.75674,Aries,19.36935,Libra,13.55002,Aries,13.55002
1865-01-12,Capricorn,0.17178,Cancer,3.80323,Sagittarius,21.00695,Aquarius,12.35876,Taurus,9.85571,Scorpio,25.81487,Libra,7.73944,Gemini,4.47301,Pisces,13.77166,Aries,19.36458,Libra,13.49703,Aries,13.49703
1865-01-13,Capricorn,1.19008,Cancer,16.30318,Sagittarius,20.00420,Aquarius,13.53612,Taurus,9.94540,Scorpio,26.01908,Libra,7.78422,Gemini,4.43577,Pisces,13.78713,Aries,19.36016,Libra,13.44404,Aries,13.44404
1865-01-14,Capricorn,2.20827,Cancer,28.59744,Sagittarius,19.14564,Aquarius,14.71144,Taurus,10.04654,Scorpio,26.22229,Libra,7.82738,Gemini,4.39900,Pisces,13.80313,Aries,19.35610,Libra,13.39105,Aries,13.39105
1865-01-15,Capricorn,3.22636,Leo,10.70201,Sagittarius,18.44159,Aquarius,15.88466,Taurus,10.15890,Scorpio,26.42448,Libra,7.86891,Gemini,4.36270,Pisces,13.81966,Aries,19.35239,Libra,13.33805,Aries,13.33805
1865-01-16,Capricorn,4.24434,Leo,22.64990,Sagittarius,17.89624,Aquarius,17.05574,Taurus,10.28229,Scorpio,26.62563,Libra,7.90879,Gemini,4.32690,Pisces,13.83672,Aries,19.34904,Libra,13.28506,Aries,13.28506
1865-01-17,Capricorn,5.26221,Virgo,4.49145,Sagittarius,17.50884,Aquarius,18.22464,Taurus,10.41651,Scorpio,26.82571,Libra,7.94702,Gemini,4.29161,Pisces,13.85430,Aries,19.34605,Libra,13.23207,Aries,13.23207
1865-01-18,Capricorn,6.27997,Virgo,16.29289,Sagittarius,17.27489,Aquarius,19.39129,Taurus,10.56133,Scorpio,27.02469,Libra,7.98358,Gemini,4.25684,Pisces,13.87241,Aries,19.34341,Libra,13.17908,Aries,13.17908
1865-01-19,Capricorn,7.29762,Virgo,28.13361,Sagittarius,17.18730,Aquarius,20.55565,Taurus,10.71657,Scorpio,27.22255,Libra,8.01846,Gemini,4.22260,Pisces,13.89103,Aries,19.34114,Libra,13.12609,Aries,13.12609
